County,WeekStartDate,Deaths,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Grays Harbor County,9/6/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,9/13/20,2,0,0,0,0,0,2,0,2021/04/12 14:53:23
Grays Harbor County,9/27/20,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Grays Harbor County,10/11/20,3,0,0,0,0,3,0,0,2021/04/12 14:53:23
Grays Harbor County,10/18/20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Grays Harbor County,10/25/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,11/8/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,11/15/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,11/22/20,3,0,0,0,0,0,3,0,2021/04/12 14:53:23
Grays Harbor County,11/29/20,5,0,0,2,1,2,0,0,2021/04/12 14:53:23
Grays Harbor County,12/6/20,4,0,0,0,1,2,1,0,2021/04/12 14:53:23
Grays Harbor County,12/13/20,2,0,0,0,1,1,0,0,2021/04/12 14:53:23
Grays Harbor County,12/20/20,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Grays Harbor County,12/27/20,2,0,0,0,1,0,1,0,2021/04/12 14:53:23
Grays Harbor County,1/3/21,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Grays Harbor County,1/10/21,4,0,0,1,1,2,0,0,2021/04/12 14:53:23
Grays Harbor County,1/17/21,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,1/24/21,4,0,0,1,0,1,2,0,2021/04/12 14:53:23
Grays Harbor County,1/31/21,2,0,0,0,1,0,1,0,2021/04/12 14:53:23
Grays Harbor County,2/7/21,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Grays Harbor County,2/14/21,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Grays Harbor County,2/21/21,3,0,0,0,2,1,0,0,2021/04/12 14:53:23
Grays Harbor County,2/28/21,4,0,0,0,0,1,3,0,2021/04/12 14:53:23
Grays Harbor County,3/14/21,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,3/8/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,3/15/20,2,0,0,0,0,0,2,0,2021/04/12 14:53:23
Island County,3/22/20,6,0,0,0,0,2,4,0,2021/04/12 14:53:23
Island County,4/26/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,5/3/20,1,0,0,1,0,0,0,0,2021/04/12 14:53:23
Island County,9/20/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,11/8/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,11/15/20,3,0,0,0,0,1,2,0,2021/04/12 14:53:23
Island County,11/22/20,4,0,0,0,0,0,4,0,2021/04/12 14:53:23
Island County,11/29/20,3,0,0,0,0,0,3,0,2021/04/12 14:53:23
Island County,12/13/20,1,0,1,0,0,0,0,0,2021/04/12 14:53:23
Island County,12/20/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Island County,1/3/21,1,0,0,0,1,0,0,0,2021/04/12 14:53:23
Island County,1/17/21,1,0,0,0,0,1,0,0,2021/04/12 14:53:23
Island County,2/7/21,2,0,0,0,1,1,0,0,2021/04/12 14:53:23
Jefferson County,11/15/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
Jefferson County,12/13/20,1,0,0,0,0,0,1,0,2021/04/12 14:53:23
King County,2/23/20,10,0,0,0,3,4,3,0,2021/04/12 14:53:23
King County,3/1/20,44,0,0,0,4,13,27,0,2021/04/12 14:53:23
King County,3/8/20,61,0,0,0,5,28,28,0,2021/04/12 14:53:23
King County,3/15/20,65,0,0,3,5,19,38,0,2021/04/12 14:53:23
King County,3/22/20,86,0,1,3,10,23,49,0,2021/04/12 14:53:23
